도서번호	등록번호	작가명(저자)	도서명	출판사
2241	EM02654	개구리 선생님의 비밀	"파울 판 론 글,현미정 옮김,김지윤 그림"	푸른나무
2242	EM02655	관혼상제 : 재미있는 옛날 풍습	"우리누리 글,최민오 그림"	주니어랜덤:랜덤하우스코리아
2243	EM02656	신나는 열두 달 명절 이야기	"우리누리 글씀,권사우 그림"	주니어랜덤
2244	EM02658	들키고 싶은 비밀 : 황선미 동화	"황선미 지음,김유대 그림"	창비
2245	EM02659	마당을 나온 암탉	"황선미 지음,김환영 그림"	사계절출판사
2246	EM02664	"조금만,  조금만 더"	"존 레이놀즈 가디너 글,마샤 슈얼 그림,김경연 옮김"	시공주니어
2247	EM02665	"콩,  너는 죽었다"	"김용택 글,박건웅 그림"	실천문학사
2248	EM02667	잔소리 없는 날	"안네마리 노르덴 글,정진희 그림,배정희 옮김"	보물창고
2249	EM02668	일기 감추는 날	"황선미 ,소윤경 그림"	웅진주니어
2250	EM02669	자신만만 1학년	"양승현 글,장숙희...등그림"	아이즐books
2251	EM02670	어린 왕자	"생텍쥐페리 글·그림,박성창 옮김"	비룡소
2252	EM02671	엄마가 사라진 어느 날	"루스 화이트 지음,김경미 옮김,이정은 그림"	푸른숲
2253	EM02672	엄마 없는 날  : 이원수 단편동화	"이원수 지음,권문희...등그림"	웅진닷컴
2254	EM02674	나보다 작은 형	"임정진 글,이웅기 그림"	푸른숲
2255	EM02675	똥이 어디로 갔을까	"이상권 지음,유진희 그림"	창비
2256	EM02676	까막눈 삼디기	"원유순, 이현미"	웅진씽크빅
2257	EM02677	새 하늘을 연 영웅들 : 우리 나라 건국 신화	"정하섭 ,이억배 그림"	창비
2258	EM02679	가방 들어 주는 아이	"고정욱 지음,백남원 그림"	사계절
2259	EM02680	기차 할머니	"파울 마르 글,프란츠 비트캄프 그림,유혜자 옮김"	JDM중앙출판사
2260	EM02681	"그림 도둑,  준모"	"오승희 글,최정인 그림"	낮은산
2261	EM02684	학교에 간 사자	"필리파 피어스 지음,햇살과 나무꾼 옮김"	논장
2262	EM02685	(어린이)세계지도책	"브라이언 델프 그림,강미라 옮김"	베텔스만코리아
2263	EM02688	친절한 우리 문화재 학교 : 한자로 풀어주니 뜻이 쏙쏙	"이재정 글,신명환 그림"	길벗어린이
2264	EM02691	짜장 짬뽕 탕수육	"김영주 글,고경숙 그림"	재미마주;
2265	EM02693	아우를 위하여 : 황석영 단편집	"황석영 지음,이상권 그림"	다림
2266	EM02694	우리누나	"오카 슈조 저,카미야 신 그림,김난주 옮김"	웅진닷컴
2267	EM02696	(어린이를 위한) 화해	"전지은 글,김성신 그림"	위즈덤하우스
2268	EM02697	(어린이를 위한)자율	"한영희 글,추덕영 그림"	위즈덤하우스
2269	EM02699	여우의 전화 박스	"도다 가즈요 글,다카스 가즈미 그림,햇살과나무꾼 옮김"	크레용하우스
2270	EM02701	(어린이를 위한) 배려	"한상복 원작,전지은 글,김성신 그림"	위즈덤하우스
2271	EM02702	조커 : 학교 가기 싫을 때 쓰는 카드	"수지 모건스턴 지음,미레유 달랑세 그림,김예령 옮김"	문학과지성사
2272	EM02703	자전거 도둑 : 박완서 단편집	"박완서 글,한병호 그림"	다림
2273	EM02704	찰리와 거대한 유리 엘리베이터	"로알드 달 글,퀸틴 블레이크 그림,지혜연 옮김"	시공사:시공주니어
2274	EM02705	찰리와 초콜릿 공장	"로알드 달 글,퀸틴 블레이크 그림,지혜연 옮김"	시공주니어
2275	EM02707	몽실 언니 : 권정생 소년소설	"권정생 지음,이철수 그림"	창비
2276	EM02708	문제아 : 박기범 동화집	"박기범 지음,박경진 그림"	창비
2277	EM02709	해리포터와 마법사의 돌	"조앤 K. 롤링 지음,김혜원 옮김"	문학수첩
2278	EM02710	해리포터와 마법사의 돌	"조앤 K. 롤링 지음,김혜원 옮김"	문학수첩
2279	EM02711	해리포터와 비밀의 방	"조앤 K. 롤링 지음,김혜원 옮김"	문학수첩
2280	EM02712	해리포터와 아즈카반의 죄수	"조앤 K. 롤링 지음,김혜원 옮김"	문학수첩
2281	EM02713	해리포터와 아즈카반의 죄수	"조앤 K. 롤링 지음,김혜원 옮김"	문학수첩
2282	EM02714	해리포터와 불의 잔	"조앤 K. 롤링 지음,김혜원,최인자 같이 옮김"	문학수첩
2283	EM02715	해리포터와 불의 잔	"조앤 K. 롤링 지음,김혜원,최인자 같이 옮김"	문학수첩
2284	EM02716	해리포터와 불의 잔	"조앤 K. 롤링 지음,김혜원,최인자 같이옮김"	문학수첩
2285	EM02717	해리포터와 불의 잔	"조앤 K. 롤링 지음,김혜원,최인자 같이옮김"	문학수첩
2286	EM02718	해리포터와 불사조 기사단	"조앤 K. 롤링 ,최인자 옮김"	문학수첩
2287	EM02719	해리포터와 불사조 기사단	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2288	EM02720	해리포터와 불사조 기사단	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2289	EM02721	해리포터와 불사조 기사단	"조앤 K. 롤링 ,최인자 옮김"	문학수첩
2290	EM02722	해리포터와 불사조 기사단	"조앤 K. 롤링 ,최인자 옮김"	문학수첩
2291	EM02723	해리포터와 혼혈 왕자	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2292	EM02724	해리포터와 혼혈 왕자	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2293	EM02725	해리포터와 혼혈 왕자	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2294	EM02726	해리포터와 혼혈왕자	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2295	EM02727	해리포터와 죽음의 성물	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2296	EM02728	해리포터와 죽음의 성물	"조앤 K. 롤링 지음,최인자 옮김"	문학수첩
2297	EM02729	해리포터와 죽음의 성물	"조앤 K. 롤링 ,최인자 옮김"	문학수첩
2298	EM02734	씨앗을 지키는 사람들 : 안미란 장편동화	"안미란 지음,윤정주 그림"	창비
2299	EM02736	우리들의 일그러진 영웅	"이문열 글,권사우 그림"	다림
2300	EM02738	(어린이를 위한) 나눔 : 사랑을 실천하는 힘	"양태석 글, 최정인 그림"	위즈덤하우스
2301	EM02741	샬롯의 거미줄	"엘윈 브룩스 화이트 글,가스 윌리엄즈 그림,김화곤 옮김"	시공주니어
2302	EM02743	소나기	"황순원 글,강우현 그림"	다림
2303	EM02747	신발 속에 사는 악어	"위기철 ,안미영 그림"	사계절
2304	EM02749	(밤티 마을) 큰돌이네 집	"이금이 ,양상용 그림"	푸른책들
2305	EM02750	보리타작 하는 날	"윤기현 지음,김병하 그림"	사계절
2306	EM02752	마틸다	"로알드 달 글,퀸틴 블레이크 그림,김난령 옮김"	시공주니어
2307	EM02753	양파의 왕따일기	"문선이 글,박철민 그림"	파랑새어린이
2308	EM02754	엄마는 파업중	"김희숙 글,박지영 그림"	푸른책들
2309	EM02755	선생님은 모르는 게 너무 많아	"강무홍 지음,이형진 그림"	사계절
2310	EM02756	누가 내 머리에 똥 쌌어?	"베르너 홀츠바르트 글,볼프 에를브루흐 그림,사계절출판사 역"	사계절출판사
2311	EM02757	마사코의 질문 : 손연자 동화집	"손연자 ,이은천 그림"	푸른책들
2312	EM02759	내 짝꿍 최영대	"채인선 글,정순희 그림"	재미마주
2313	EM02761	내가 처음 쓴 일기	"대구 금포 초등학교 1학년 2반 ,윤태규 지도,김성민 그림"	보리
2314	EM02763	"10살,  생각을 시작하는나이"	"김재헌 글,천소 그림"	토토북
2315	EM02764	태일이	"박태옥 글,최호철 그림"	돌베개
2316	EM02765	태일이	"박태옥 글,최호철 그림"	돌베개
2317	EM02768	(어린이를 위한)마시멜로 이야기	"호아킴 데 포사다 원작,임정진 글,원유미,신명환 공그림"	깊은책속옹달샘
2318	EM02769	10살에 떠나는 미래 직업 대탐험	"한상근 ,이우일 그림"	중앙books
2319	EM02770	선물	"스펜서 존슨 지음,형선호 옮김"	랜덤하우스
2320	EM02771	사금파리 한 조각	"린다 수 박 글,이상희 옮김,김세현 그림"	서울문화사
2321	EM02772	사금파리 한 조각	"린다 수 박 글,이상희 옮김,김세현 그림"	서울문화사
2322	EM02773	(생각의 힘을 키워주는) 철학 초콜릿	"미셸 피크말 글,필립 라고트리에르 그림,박창호 옮김"	미래M&B
2323	EM02778	피터의 의자	"에즈러 잭 키츠 글·그림,이진영 옮김"	시공사 :시공주니어
2324	EM02781	사과가 쿵!	"다다 히로시 지음,정근 옮김"	보림출판사
2325	EM02782	(세계의 걸작 그림책)네버랜드	바버러 쿠니	시공주니어
2326	EM02783	고릴라	"앤터니 브라운 글·그림,장은수 옮김"	비룡소
2327	EM02784	세상에서 제일 힘센 수탉	"이호백 글,이억배 그림"	재미마주
2328	EM02785	똥떡	이춘희	사파리
2329	EM02786	돼지책	"앤서니 브라운 글·그림,허은미 옮김"	웅진주니어
2330	EM02787	돌아온 진돗개 백구	"송재찬 글,송진헌 그림"	대교출판
2331	EM02788	달님 안녕	"하야시 아키코 지음,이영준 옮김"	한림출판사
2332	EM02790	눈오는 날	"에즈라 잭 키츠 글·그림,김소희 옮김"	비룡소
2333	EM02791	똑딱-똑딱!  :  시간에 대하여	"제임스 덴버 글·그림,이연수 옮김"	그린북
2334	EM02792	누구 그림자 일까?	최숙희 글그림	보림
2335	EM02793	깃털 없는 기러기 보르카	"존 버닝햄 글·그림,엄혜숙 옮김"	비룡소
2336	EM02794	개구리와 두꺼비가 함께	"아놀드 로벨 글. 그림,엄혜숙 옮김"	비룡소
2337	EM02795	너는 특별하단다	"맥스 루카도 지음,세르지오.마르티네즈 그림,아기장수의 날개 옮김"	고슴도치
2338	EM02796	방귀만세	"후쿠다 이와오 글,김난주 옮김"	아이세움
2339	EM02798	(세상을 담은 그림) 지도	"김향금 글,최숙희 그림"	보림출판사
2340	EM02800	훨훨 간다	"권정생 글,김용철 그림"	국민서관
2341	EM02802	토끼와 늑대와 호랑이와 담이와	"채인선 글, 한병호 그림"	(주)시공사
2342	EM02803	경북궁에서의 왕의 하루	"청동말굽 글,박동국 그림"	문학동네
2343	EM02804	(검피 아저씨의)뱃놀이	존 버닝햄 글	시공주니어:시공사
2344	EM02807	우리 몸의 구멍	"허은미 글,이혜리 그림"	돌베개 어린이
2345	EM02808	우리 순이 어디 가니	"윤구병 글,이태수 그림"	보리
2346	EM02809	우리끼리 가자	"윤구병 글 , 이태수 그림"	(주 도서출판)보리
2347	EM02810	심심해서 그랬어	"윤구병 글 , 이태수 그림"	(주식회사 도서출판)보리
2348	EM02814	화가 나는 건 당연해!	"미셸린느 먼디 글,R. W. 앨리 그림,노은정 옮김"	비룡소
2349	EM02815	순이와 어린동생	"쓰쓰이 요리코 글,하야시 아키코 그림,양선하 옮김"	한림출판사
2350	EM02816	무엇이든 삼켜버리는 마법상자	"코키루니카 글·그림,김은진 옮김"	고래이야기
2351	EM02817	이슬이의 첫 심부름	"쓰쓰이 요리코 글,하야시 아키코 그림,이영준 옮김"	한림출판사
2352	EM02818	"오른발,  왼발"	"토미 드 파올라 글,정해왕 옮김"	비룡소
2353	EM02820	개구리가 알을 낳았어	"이성실 글,이태수 그림"	다섯수레
2354	EM02822	바빠요 바빠	"윤구병 글,이태수 그림"	(주식회사 도서출판)보리
2355	EM02823	팥죽 할머니와 호랑이	"조대인 글,최숙희 그림"	보림
2356	EM02824	반쪽이	"이억배 그림,이미애 글"	보림
2357	EM02825	우리 선생님이 최고야!	"케빈 헹크스 글그림,이경혜 옮김"	비룡소
2358	EM02826	솔이의 추석 이야기	이억배 글.그림	길벗어린이
2359	EM02827	소중한 나의 몸	"정지영,정혜영 같이글·그림"	비룡소
2360	EM02829	장갑 : 우크라이나 민화	"에우게니 M. 라쵸프 그림,이영준 옮김"	한림출판사
2361	EM02830	행복한 청소부	"모니카 페트 ,안토니 보라틴스키 ,김경연 옮김"	풀빛
2362	EM02831	못 말리는 종이괴물	"루이 트롱댕 지음,김미선 옮김"	아이세움
2363	EM02832	갯벌에 뭐가 사나 볼래요	"보리 글,이원우 그림"	보리
2364	EM02833	공원에서 일어난 이야기	"앤서니 브라운 글·그림,김향금 옮김."	곧은나무
2365	EM02834	나의 첫 지도책	"빌 보일 ,데이브 홉킨스 ,장성희 옮김"	베델스만코리아
2366	EM02835	(호야와 곰곰이의)세계지도여행	"야노쉬 글.,오석균 옮김"	계림북스쿨
2367	EM02836	도서관	"사라 스튜어트 글,데이비드 스몰 그림,지혜연 옮김"	시공사:시공주니어
2368	EM02837	"안돼,  데이빗!"	"데이빗 섀논 글·그림,지경사 역"	지경사
2369	EM02838	터널	"앤서니 브라운 글.,장미란 옮김"	논장
2370	EM02839	까마귀 소년	"야시마 타로 글 그림,윤구병 옮김"	비룡소
2371	EM02840	깊은 밤 부엌에서	"모리스 샌닥 지음,강무홍 옮김"	시공주니어
2372	EM02841	늑대가 들려주는 아기돼지 삼형제 이야기	"존 셰스카 글,레인 스미스 그림,황의방 옮김"	보림출판사
2373	EM02843	눈사람 아저씨	레이먼드 브리그즈 지음	마루벌
2374	EM02844	곰 사냥을 떠나자	"헬린 옥슨버리 그림,마이클 로젠 글,공경희 옮김"	시공주니어
2375	EM02845	황소 아저씨	"권정생 ,정승각 그림"	길벗어린이
2376	EM02846	치과 의사 드소토 선생님	"윌리엄 스타이그 글.그림,조은수 옮김"	비룡소
2377	EM02847	우리 엄마	앤서니 브라운 글	웅진주니어
2378	EM02848	무지개 물고기	"마르쿠스 피스터 글 그림,공경희 옮김"	시공사:시공주니어
2379	EM02849	은지와 푹신이	"하야시 아키코 글.그림,이영준 옮김"	한림출판사
2380	EM02851	(앤서니 브라운의)행복한 미술관	"앤서니 브라운 글·그림,서애경 옮김"	웅진주니어
2381	EM02852	지각대장 존	"존 버닝햄 글·,박상희 옮김"	비룡소
2382	EM02853	나무는 좋다	"재니스 메이 우드리 글,마르크 시몽 그림,강무홍 옮김"	시공주니어
2383	EM02854	미술관에 간 윌리	"앤서니 브라운 글·그림,장미란 옮김"	웅진주니어
2384	EM02856	(정재승의) 과학 콘서트 : 복잡한 세상과 명괘한 과학	정재승 지음	동아시아
2385	EM02859	열두 살에 부자가 된 키라	"보도 섀퍼 지음,김준광 옮김,신지원 그림"	을파소:북이십일
2386	EM02862	괭이부리말 아이들	"김중미 ,송진헌 그림"	창작과비평사
2387	EM02864	잃어버린 개념을 찾아서 : 10대를 위한 SF 단편집	"박상준 엮음,김보경...등지음"	창비
2388	EM02866	라일락 피면 : 10대들의 선택에 관한 8편의 이야기	"공선옥...등지음,원종찬 엮음"	창비
2389	EM02869	옛날 사람들은 어떻게 살았을까	"조은수 글,최영주 그림"	창비
2390	EM02870	프린들 주세요	"앤드루 클레먼츠 ,햇살과나무꾼 옮김"	사계절
2391	EM02873	동물농장	"조지 오웰 지음,도정일 옮김"	민음사
2392	EM02875	(중고생이 꼭 읽어야 할)한국 단편소설 베스트 30	김동인 ...등지음	/:혜문서관
2393	EM02876	노트 한 권으로 대학 가기	이지은 지음	뜨인돌출판사
2394	EM02878	모모	"미하엘 엔데 지음, 한미희 옮김"	비룡소
2395	EM02890	내 이름은 삐삐 롱스타킹	"아스트리드 린드그렌 글, 롤프 레티시 그림, 햇살과나무꾼 옮김"	(주)시공사
2396	EM02891	리버보이	"팀 보울러 지음,정해영 옮김"	다산책방
2397	EM02892	실패를 두려워 말고 1등에 도전하라	"손현석,김대환 지음"	메가트렌드
2398	EM02918	Why? 삼국의 경쟁	"이근 글,극동만화연구소 그림"	예림당
2399	EM02919	Why? 한국사; 3	"이근 글,극동만화연구소 그림"	예림당
2400	EM02920	(Why?) 조선시대	"이근 글,극동만화연구소 그림,문철영 감수"	예림당
2401	EM02921	(Why?)한국사 조선 후기	"이근 지음,극동만화연구소 그림"	예림당
2402	EM02922	(Why?)한국사; 7	이근 극동만화연구소 그림	예림당
2403	EM02923	Why? 우주	"이광웅 ,박종관 만화"	예림당
2404	EM02924	(WHY？)지구	"이광웅 글,박종관 만화"	예림당
2405	EM02925	(WHY？)곤충	"이광웅 글,박종관 만화"	예림당
2406	EM02926	(Why?)사춘기와 성	이복영 글.만화	예림당
2407	EM02927	(Why？)공룡	"이항선 글,송회석 만화"	예림당
2408	EM02928	(WHY？)화학	"조영선 글,이영호 만화"	예림당
2409	EM02929	(WHY？)물리	"조영선 글,이영호 만화"	예림당
2410	EM02930	Why? 화석	"이광웅 글,송회석 만화"	예림당
2411	EM02931	Why? 똥	"허순봉,만화: 송회석"	예림당
2412	EM02932	(Why?) 물	"김남석 글,안수용 만화"	예림당
2413	EM02933	Why? 로봇	"조영선,만화: 이영호"	예림당
2414	EM02934	Why? 외계인과 UFO	"이광웅,만화: 송회석"	예림당
2415	EM02935	(Why?)질병	"허순봉 글,가재발 만화"	예림당
2416	EM02936	Why?	"정수은 ,송회석 만화"	예림당
2417	EM02937	Why? 동굴	"정수은,만화: 강진호"	예림당
2418	EM02938	(Why?)갯벌	"우연정 저,파피루스 만화,임현식 감수"	예림당
2419	EM02939	(WHY?)로켓과 탐사선	"황근기 글,이영호 만화"	예림당
2420	EM02940	(WHY?)교통수단	"이의정 글,손영목 만화"	예림당
2421	EM02941	(Why?)미생물	"허순봉 글,이근 만화"	예림당
2422	EM02942	(Why?)스포츠 과학	"조영선 글,이영호 만화"	예림당
2423	EM02943	Why? 응급처치	"파피루스 글,이준희 만화"	예림당
2424	EM02944	(Why?)별과 별자리	"파피루스 글,이두원 만화"	예림당
2425	EM02945	(Why?)빛과 소리	"조영선 글,이영호 만화"	예림당
2426	EM02946	(Why?) 정보통신	"조영선,만화: 김강호"	예림당
2427	EM02947	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	아이세움
2428	EM02948	내일은 실험왕  : 본격 대결 과학실험 만화	"곰돌이 co., 홍종현"	미래엔 컬처그룹 :아이세움
2429	EM02949	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	MiraeN 아이세움 :미래엔
2430	EM02950	만화(본격 대결 과학실험 만화) 내일은 실험왕	"곰돌이co. 지음,홍종현 그림"	아이세움:미래엔
2431	EM02951	만화(본격 대결 과학실험 만화) 내일은 실험왕	"곰돌이co. 지음,홍종현 그림"	아이세움:미래엔
2432	EM02952	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	대한교과서:아이세움
2433	EM02953	내일은 실험왕	"곰돌이co. 지음,홍종현 그림"	MiraeN아이세움
2434	EM02954	내일은 실험왕	"곰돌이co. 지음,홍종현 그림"	MiraeN아이세움
2435	EM02955	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	대한교과서:아이세움
2436	EM02956	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	대한교과서:아이세움
2437	EM02957	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	아이세움:미래엔 컬처그룹
2438	EM02958	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	아이세움
2439	EM02959	내일은 실험왕 : 본격 대결 과학실험 만화	"곰돌이 co. 글,홍종현 그림"	아이세움:미래엔
2440	EM02960	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	아이세움
2441	EM02961	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	아이세움
2442	EM02962	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	Mirae N 아이세움
2443	EM02963	내일은 실험왕	"곰돌이 co. 글,홍종현 그림,박완규,이창덕 공감수"	미래엔:아이세움
2444	EM02964	내일은 실험왕  : 본격 대결 과학실험 만화	"곰돌이 co. 글,홍종현 그림"	미래엔컬처그룹
2445	EM02965	내일은 실험왕	"곰돌이 co. 글,홍종현 그림"	아이세움:미래엔
2446	EM02966	내일은 실험왕	"스토리 a. 글,홍종현 그림"	아이세움(미래엔)
2447	EM02967	내일은 실험왕  : 본격 대결 과학실험 만화	"곰돌이 co. 글,홍종현 그림"	미래엔컬처그룹
2448	EM02968	"(만화)토마스모어 유토피아 = ,Utopia"	"손영운 글,최정규 그림"	주니어김영사
2449	EM02969	(만화) 루소 사회계약론	"손영운 글,팽현준 그림"	김영사
2450	EM02970	"(만화)정약용 목민심서 = ,牧民心書"	"곽은우 글,조명원 그림"	주니어김영사
2451	EM02971	"(만화)찰스 다윈 종의 기원 = ,Origin of Species"	"최현석 글,조명원 그림"	주니어 김영사
2452	EM02972	"(만화)사마천 사기열전 = ,史記列傳"	"정연 글,진선규 그림"	주니어김영사
2453	EM02973	(만화) 존 S	홍성자 지음	주니어김영사
2454	EM02974	(홉스)리바이어던	"손기화 글,주경훈 그림"	주니어김영사
2455	EM02975	(만화)애덤스미스 국부론 = The wealth of nations	"손기화 글,남기영 그림"	주니어김영사
2456	EM02976	(만화)이익 성호사설	"김태완 글,김인호 그림"	김영사:주니어김영사
2457	EM02977	(만화) 데카르트 : 방법서설	"박철호 글,이대종 그림"	주니어김영사
2458	EM02978	(만화)갈릴레이 두 우주 체계에 대한 대화	"정창훈 글,유희석 그림"	김영사:주니어김영사
2459	EM02979	(만화) 베르그송 : 창조적 진화	"윤원근 글,이남고 그림"	주니어김영사
2460	EM02980	(만화) 몽테스키외 : 법의 정신	"윤원근 글,최우빈 그림"	주니어김영사
2461	EM02981	(만화) 베이컨 : 신논리학	"홍성자 글,김광옥 그림"	주니어김영사
2462	EM02982	(만화)이중환 택리지	"전근완 글,김강섭 그림"	김영사:주니어김영사
2463	EM02983	"(만화) 류성룡 징비록  = ,懲毖錄"	"박교영 글,이동철 그림."	주니어김영사
2464	EM02984	(만화) 최제우 : 동경대전	"곽은우 글,김분묘 그림"	주니어김영사
2465	EM02985	"(만화)프로이트 꿈의 해석 = ,Die Traumdeutung"	"최현석 글,이상윤 그림"	주니어김영사:김영사
2466	EM02986	(만화) 대학	"허경대 글,이주한 그림"	주니어김영사:김영사
2467	EM02987	(만화) 박은식  : 한국통사	"윤민정 글,김용회 그림"	주니어김영사
2468	EM02988	"(만화)막스 베버 프로테스탄트 윤리와 자본주의 정신 = ,Die Protestantische ethik und der geist des Kapitalismus"	"윤원근 ,김혜은 그림"	주니어김영사:김영사
2469	EM02989	(만화) 존 로크 : 정부론	"이근용 글,주경훈 그림"	주니어김영사
2470	EM02990	"(만화)뉴턴 프린키피아 = ,Philosophiae naturalis principia mathematica"	"송은영 글,홍소진 그림"	주니어김영사
2471	EM02991	"(만화)중용 = ,中庸"	"이수석 글,진선규 그림"	주니어김영사
2472	EM02992	"(만화)슘페터 자본주의 사회주의 민주주의 = ,Capitalosm,  socialism,  and democracy"	"손기화 글,김강섭 그림"	주니어김영사
2473	EM02993	"(만화)아리스토텔레스 정치학  = ,Politics"	"신승현 글,박종호 그림"	주니어김영사
2474	EM02994	"(만화)마르크스 자본론 = ,Das kapital"	"최성희 글,손영목 그림"	주니어김영사
2475	EM02995	(만화) 키케로 : 의무론	"윤지근 글,권오영 그림"	주니어김영사
2476	EM02996	(만화) 일연 : 삼국유사	"한지영 글,이진영 그림"	주니어김영사
2477	EM02997	"(만화)쑨원 삼민주의 = ,三民主義"	"곽은우 글,조명원 그림"	주니어김영사
2478	EM02998	"(만화)한비자 = ,韓非子"	"권오경 글,유대수 그림"	주니어김영사
2479	EM02999	"(만화)간디 자서전 = ,(The)Autobiography of Ghandi"	"권오경 글,박수로 그림"	주니어김영사:김영사
2480	EM03000	(만화) 김부식 삼국사기	"김대현 글,이인섭 그림"	김영사
2481	EM03001	(김구)백범일지	"김세라 글,팽현준 그림"	주니어김영사
2482	EM03002	"(만화)맹자 = ,孟子"	"허경대 글,정민희 그림"	주니어김영사
2483	EM03003	"(만화)최한기 기학 = ,氣學"	"구태환 글,이주한 그림"	주니어김영사
2484	EM03004	"(만화)논어 = ,論語"	"서기남 글,신명환 그림"	주니어김영사
2485	EM03005	"(만화)니체 차라투스트라는 이렇게 말했다 = ,Also sprach Zarathustra"	"김면수 글,정상혁 그림"	주니어김영사
2486	EM03006	(만화)박제가 복학의	"곽은우 글,이상윤 그림"	주니어김영사
2487	EM03007	(만화)신채호 조선상고사	"김대현 글,최정규 그림"	김영사 :주니어김영사
2488	EM03008	(만화) 법구경	"전재성 글,마정원 그림"	주니어김영사:김영사
2489	EM03009	"(만화) 하이데거 존재와 시간 = ,Sein und zeit"	"임선희 글,최복기 그림"	김영사:주니어김영사
2490	EM03010	(만화) 예링 권리를 위한 투쟁	"윤지근 글,청강만화스튜디오 그림"	주니어김영사:김영사
2491	EM03011	"(만화) 비트겐슈타인 철학적 탐구  = ,Philosophische untersuchunge"	"김면수 글,이남고 그림"	김영사:주니어김영사
2492	EM03012	(만화)성학십도	"허경대 글,정윤채 그림."	주니어김영사
2493	EM03013	"(만화) 헤겔 역사철학 강의 = ,Vorlesungen ?ber die philosophie der weltgeschichte"	"심옥숙 글,배광선 그림"	김영사:주니어김영사
2494	EM03014	점을 찾는 아이	이미주외 7명	KB국민은행
2495	EM03015	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2496	EM03016	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2497	EM03017	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2498	EM03018	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2499	EM03019	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2500	EM03020	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2501	EM03021	(만화) 토지	"박경리 원작,오세영 각색·그림"	마로니에북스
2502	EM03022	"엄마,콘센트 속 세상을 탐험했어요"	에너지팜	한국수력원자력
2503	EM03023	"엄마,콘센트 속 세상을 탐험했어요"	에너지팜	한국수력원자력
2504	EM03024	(지구 밖 세상으로 떠나는) 우주 여행	"이안 그레엄 글,박수철 옮김"	대교출판
2505	EM03025	부자 아빠 가난한 아빠	"로버트 기요사키,샤론 레흐트 같이 지음,형선호 옮김"	황금가지
2506	EM03026	부자 아빠 가난한 아빠	"로버트 기요사키,샤론 레흐트 공지음,형선호 옮김"	황금가지
2507	EM03029	부자 아빠 가난한 아빠	"로버트 기요사키,샤론 레흐트 공지음,형선호 옮김"	황금가지
2508	EM03035	마이크로트렌드  : 세상의 룰을 바꾸는 특별한 1%의 법칙	"마크 펜,키니 잴리슨 지음,안진환,왕수민 옮김"	해냄출판사
2509	EM03037	성공하는 사람들의 7가지 습관	"스티븐 코비 지음,김경섭 옮김"	김영사
2510	EM03038	주식 천재가 된 홍대리	최승욱 지음	다산북스
2511	EM03040	시골의사의 부자 경제학  : 경제 원리에 숨겨진 부자들의 투자 비밀	박경철 지음	리더스북
2512	EM03041	"무지개 원리 = ,Blessing of the rainbow : 하늘 일마다 잘되리라"	차동엽	위즈앤비즈
2513	EM03046	육일약국 갑시다	김성오 저	북이십일 21세기북스
2514	EM03059	(보도 섀퍼의)돈	"보도 섀퍼 지음,이병서 옮김"	북플러스
2515	EM03060	세상에서 가장 짧은 한국사  : 읽는 것만으로 역사의 흐름이 머릿속에 들어온다	김재원 지음	빅피시
2516	EM03061	"사피엔스,유발 하라리 지음;, 조현욱 옮김"	유발하라리	김영사
2517	EM03062	나를 살게 하는 것들  : 회복과 충전 다시 잘 살고 싶을 때 읽는 김창옥의 제안서	김창옥 지음	수오서재
2518	EM03063	(둥글둥글 지구촌)국제구호 이야기	"이수한 글,유남영 그림"	풀빛
2519	EM03064	동글동글 귀여운 고생물 도감	"다카하시 노조무 지음,허영은 옮김,다카하시 노조무 그림"	고래가숨쉬는도서관
2520	EM03065	도서관에서 처음 책을 빌렸어요	"알렉산더 스테들러 글·그림,이순미 옮김"	보물창고:푸른책들
2521	EM03066	도둑게야 어디 가니?	안은영 글·그림	길벗어린이
2522	EM03067	국제무대에서 꿈을 펼치고 싶어요  : 어린이를 위한 글로벌 직업 백과	"서지원,나혜원, 하민석"	뜨인돌어린이
