도서번호	등록번호	작가명(저자)	도서명	출판사
72	EM00072	"파타고니아,  파도가 칠 때는 서핑을  : 지구가 목적,  사업은 수단 인사이드 파타고니아"	"이본 쉬나드 지음,이영래 옮김"	라이팅하우스
73	EM00073	혼자 사니 좋다	서정희 지음	Mons(몽스북)
74	EM00074	현명한 투자자 : 벤저민 그레이엄 직접 쓴 마지막 개정판	"벤저민 그레이엄 지음,이건 옮김"	국일증권경제연구소
75	EM00075	지쳤거나 좋아하는 게 없거나	글배우 지음	강한별
76	EM00076	일 잘하는 사람은 단순하게 말합니다	박소연 지음	더 퀘스트 :길벗
77	EM00077	사람에 대한 예의	권석천	어크로스
78	EM00078	(2020 제11회) 젊은작가상 수상작품집	"강화길,최은영,이현석,김초엽,장류진,장희원"	문학동네
79	EM00079	"룬샷  : 전쟁,  질병,  불황의 위기를 승리로 이끄는 설계의 힘"	"사피 바칼 지음,이지연 옮김"	흐름출판
80	EM00080	"코로나 투자 전쟁  = ,Money war  : 전 세계 금융 역사 이래 최대의 유동성"	"정채진,박석중,이광수,김한진,김일구,여의도클라스,윤지호,최준영 지음"	Page2(페이지2북스)
81	EM00081	2021년 올해의도서 강남 사장님 (황금도깨비상 수상작)	"이지음 글,국민지 그림"	비룡소
82	EM00082	수상한 화장실	"박현숙 글,유영주 그림"	북멘토
83	EM00083	수상한 화장실	"박현숙 글,유영주 그림"	북멘토
84	EM00084	(읽으면서 바로 써먹는) 어린이 수수께끼	글· 한날	파란정원
85	EM00085	소원 떡집	"김리리 글,이승현 그림"	비룡소
86	EM00086	알사탕	백희나 글·그림	
87	EM00087	당근 유치원	안녕달	창비
88	EM00088	만약의 세계	"요시타케 신스케 글·그림,양지연 옮김"	김영사 :주니어김영사
89	EM00089	아홉 살 마음 사전	"박성우 글,김효은 그림"	창비
90	EM00090	못 참는 아이 욱하는 부모  : 분노조절장애의 시대를 사는 대한민국 부모에게 주는 육아 멘토 오은영 박사의 감정 조절 육아법	오은영 지음	대성 Korea.com
91	EM00091	수박 수영장  : 안녕달 그림책	안녕달 지음	창비
92	EM00092	마법에 걸린 병	고경숙 글·그림	재미마주
93	EM00093	푸른 사자 와니니	"이현 지음,오윤화 그림"	창비
94	EM00094	만복이네 떡집	"김리리 글,이승현 그림."	비룡소
95	EM00095	장군이네 떡집	"김리리 글,이승현 그림"	비룡소
96	EM00096	코로나 이후의 세계	"제이슨 솅커 지음,박성현 옮김"	미디어숲 :다빈치하우스
97	EM00097	마음챙김의 시	류시화 엮음	수오서재
